ID,Title,Author,Length,URL,Year,Approach
video072,Robotic Assisted Prostatectomy (RALP)_20 min.mp4,BangSurgical,1200.634195,http://dg1fmc8qbela5.cloudfront.net/video072.mp4,2012,posterior
video073,Robotic Assisted Radical Prostatectomy,Henry Woo,4363.494,http://dg1fmc8qbela5.cloudfront.net/video073.mp4,2020,anterior
video074,Robotic Assisted Radical Prostatectomy - Dr Gustavo Cardoso Guimarães,Instituto de Urologia Oncologia e Cirurgia Robótica,1487.075556,http://dg1fmc8qbela5.cloudfront.net/video074.mp4,2015,anterior
video075,Robotic assisted Radical Prostatectomy by Prof. Dr. Mottrie (Full video),ORSI,1697.332245,http://dg1fmc8qbela5.cloudfront.net/video075.mp4,2014,anterior
video076,Robotic Assisted Radical Prostatectomy Non Nerve Sparing,Henry Woo,3438.248345,http://dg1fmc8qbela5.cloudfront.net/video076.mp4,2020,anterior
video077,"ROBOTIC ASSISTED RADICAL PROSTATECTOMY, FULL CASE NO EDITION.",FRANCISCO CARVALHO,4404.384218,http://dg1fmc8qbela5.cloudfront.net/video077.mp4,2021,anterior
video079,Robotic Prostatectomy (RALP)_22 min.mp4,BangSurgical,1311.184399,http://dg1fmc8qbela5.cloudfront.net/video079.mp4,2012,anterior
video081,Robotic Prostatectomy 2006 Fagin,VIP Urology,4109.676553,http://dg1fmc8qbela5.cloudfront.net/video081.mp4,2006,posterior
video082,Robotic Prostatectomy 2012,VIP Urology,3729.589116,http://dg1fmc8qbela5.cloudfront.net/video082.mp4,2012,anterior
video083,Robotic prostatectomy after abandoned open radical prostatectomy | June 2019,Declan Murphy,8198.385488,http://dg1fmc8qbela5.cloudfront.net/video083.mp4,2019,anterior
video084,"robotic prostatectomy by Dr Geoff Coughlin 2017 unedited, narrated",Geoff Coughlin,3573.505,http://dg1fmc8qbela5.cloudfront.net/video084.mp4,2017,anterior
video085,"Robotic prostatectomy by Edward Schaeffer, MD, PhD",NM Urology,2347.653514,http://dg1fmc8qbela5.cloudfront.net/video085.mp4,2017,posterior
video086,Robotic prostatectomy Full Case Step by Step with Expert Surgeon,Naveen Kella,4018.701,http://dg1fmc8qbela5.cloudfront.net/video086.mp4,2014,posterior
video087,Robotic Prostatectomy Full Length 2010,VIP Urology,3132.720181,http://dg1fmc8qbela5.cloudfront.net/video087.mp4,2010,posterior
video088,Robotic Prostatectomy full length by Dr Geoff Coughlin,Geoff Coughlin,4555.894422,http://dg1fmc8qbela5.cloudfront.net/video088.mp4,2013,anterior
video089,Robotic prostatectomy in Hong Kong live case,Hany Atalah,2521.524535,http://dg1fmc8qbela5.cloudfront.net/video089.mp4,2008,posterior
video091,Robotic prostatectomy with early NVB release & anterior Retzius-sparing for anterior prostate ca.,Christopher Eden,2189.200544,http://dg1fmc8qbela5.cloudfront.net/video091.mp4,2020,posterior
video092,Robotic Prostatectomy with the da Vinci X robotic surgery system,Conray Moolman,3130.909025,http://dg1fmc8qbela5.cloudfront.net/video092.mp4,2019,anterior
video093,Robotic Prostatectomy- WRSE 2020 - Dr Rafael Coelho Urologista,Dr. Rafael Coelho - Urologia,1596.395102,http://dg1fmc8qbela5.cloudfront.net/video093.mp4,2020,anterior
video094,"Robotic prostatectomy: Managing an ectopic ureteral orifice, dissection by Edward Schaeffer, MD, PhD",NM Urology,1971.37415,http://dg1fmc8qbela5.cloudfront.net/video094.mp4,2020,anterior
video095,Robotic Radical Prostatectomy,Asian Institute of Nephrology & Urology,5616.81415,http://dg1fmc8qbela5.cloudfront.net/video095.mp4,2020,posterior
video096,"Robotic Radical Prostatectomy (Nerve sparing, Bladder neck preserving)",Asian Institute of Nephrology & Urology,3645.57932,http://dg1fmc8qbela5.cloudfront.net/video096.mp4,2020,posterior
video097,ROBOTIC RADICAL PROSTATECTOMY - RARP- FULL SURGICAL CASE- PATIENT EDUCATION- Dr. KEVIN ZORN,DrKevinZorn,4589.912,http://dg1fmc8qbela5.cloudfront.net/video097.mp4,2013,posterior
video098,Robotic radical prostatectomy for large prostate with median lobe,Prof. Dr. Lütfi Tunç,5257.044172,http://dg1fmc8qbela5.cloudfront.net/video098.mp4,2017,posterior
video099,Robotic Radical Prostatectomy in 24 January 2018 Full Length,Prof. Dr. Lütfi Tunç,5645.653,http://dg1fmc8qbela5.cloudfront.net/video099.mp4,2018,posterior
video100,Robotic Radical Prostatectomy in 28 December 2017,Prof. Dr. Lütfi Tunç,4409.493,http://dg1fmc8qbela5.cloudfront.net/video100.mp4,2017,posterior
video101,Robotic Radical Prostatectomy Live Surgery Course in 16-17 December 2017,Prof. Dr. Lütfi Tunç,4520.67,http://dg1fmc8qbela5.cloudfront.net/video101.mp4,2017,posterior
video102,Robotic Radical Prostatectomy to 300 cc Prostate in 5th of April 2019,Prof. Dr. Lütfi Tunç,7627.941,http://dg1fmc8qbela5.cloudfront.net/video102.mp4,2019,posterior
video103,Robotic Radical Prostatectomy with Bladder Neck Sparing Surgery Technique in 23-26 February 2018,Prof. Dr. Lütfi Tunç,4256.867846,http://dg1fmc8qbela5.cloudfront.net/video103.mp4,2018,posterior
video104,Robotic Radical Prostatectomy with Bladder Neck Sparing Technique in 14 February 2018,Prof. Dr. Lütfi Tunç,4102.246168,http://dg1fmc8qbela5.cloudfront.net/video104.mp4,2018,anterior
video105,Robotic Radical Prostatectomy with Bladder Neck Sparing Technique in 20 April 2018,Prof. Dr. Lütfi Tunç,3605.177,http://dg1fmc8qbela5.cloudfront.net/video105.mp4,2018,posterior
video106,Robotic Radical Prostatectomy with Bladder Neck Sparing Technique in16 February 2019,Prof. Dr. Lütfi Tunç,4411.838,http://dg1fmc8qbela5.cloudfront.net/video106.mp4,2019,posterior
video107,"Robotic radical prostatectomy, Nerve preservation by lateral approach, full length.",UROLOGIE SAINT AUGUSTIN,2646.1,http://dg1fmc8qbela5.cloudfront.net/video107.mp4,2017,anterior
video108,"Robotic Retzius-sparing radical prostatectomy, full unedited surgery by Rabii Madi, MD",rabih33,1708.339,http://dg1fmc8qbela5.cloudfront.net/video108.mp4,2017,posterior
video109,Robotic Transvesical Suprapubic Prostatectomy,Nick Donin,1455.589297,http://dg1fmc8qbela5.cloudfront.net/video109.mp4,2020,anterior
video110,Robotic-assisted laparoscopic radical prostatectomy (console time 27 min uncut version),"Yifan Chang, M.D.",1632.757551,http://dg1fmc8qbela5.cloudfront.net/video110.mp4,2018,anterior
video111,"SA-48 Laparoscopic radical prostatectomy - nerve sparing - no editing - Serdar Aykan, MD Assoc Prof",SERDAR AYKAN,3094.198277,http://dg1fmc8qbela5.cloudfront.net/video111.mp4,2020,anterior
video112,Salvage radical prostatectomy,TNM Urology,7918.492,http://dg1fmc8qbela5.cloudfront.net/video112.mp4,2021,anterior
video113,Salvage Robotic-Assisted Prostatectomy- March 2016,AdventHealth Global Robotics Institute,4382.348481,http://dg1fmc8qbela5.cloudfront.net/video113.mp4,2016,anterior
video114,simple prostatectomy rasp robotic,Bernardo Rocco,2215.903492,http://dg1fmc8qbela5.cloudfront.net/video114.mp4,2020,anterior
video115,Ultra-wide excision of neurovascular bundles in robotic prostatectomy for T3bN0M0 prostate cancer.,Santis,1986.56,http://dg1fmc8qbela5.cloudfront.net/video115.mp4,2020,posterior
